transactionId,artSnapshot
TXN-018,"Drawing,0000000038,Horse in Motion,Fiona Dale,2016,Detailed galloping horse,155.0,REALISM,GRAPHITE,HISTORY,RESERVED"
TXN-019,"Drawing,0000000045,Portrait of a Gentleman,James McAllister,2019,A realistic charcoal drawing of an elderly gentleman with expressive eyes and fine details.,500.0,REALISM,CHARCOAL,PORTRAIT,RESERVED"
TXN-016,"Print,0000000007,Bloom,Tara James,2021,Floral line art,95.0,PAPER,STILL_LIFE,SOLD"
TXN-016,"Painting,0000000009,Fractured Light,Leo Rivera,2019,Abstract glass fragments,190.0,8,9,ABSTRACT,WATERCOLOR,STILL_LIFE,SOLD"
TXN-017,"Painting,0000000029,Distant Forest,John Black,2015,Misty forest in dusk,180.0,9,7,IMPRESSIONISM,WATERCOLOR,LANDSCAPE,SOLD"
TXN-014,"Print,0000000052,Urban Noise,Jessica Lee,1983,A digital print showcasing the energetic movement and bustle of the city streets.,1420.0,CANVAS,GENRE,RESERVED"
TXN-015,"Drawing,0000000051,Dancing Shadows,Emily Grant,2021,An abstract drawing where the shadows of dancers take on a life of their own.,350.0,ABSTRACT,COLORED_PENCIL,GENRE,SOLD"
TXN-012,"Drawing,0000000006,Girl & Guitar,Leo Nash,2020,Music-inspired portrait,150.0,IMPRESSIONISM,PASTEL,PORTRAIT,SOLD"
TXN-012,"Drawing,0000000022,Metro Lines,Matt Fields,2023,City rail abstraction,140.0,CUBISM,INK,LANDSCAPE,SOLD"
TXN-012,"Painting,0000000037,Vibrant Echo,Ian Wu,2021,Intense color abstraction,210.0,14,14,ABSTRACT,ACRYLIC,STILL_LIFE,SOLD"
TXN-011,"Painting,0000000001,Sunset Overwater,Lucas Stone,2018,A calming sunset,250.0,12,10,IMPRESSIONISM,ACRYLIC,LANDSCAPE,RESERVED"
